month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Mar,O Jardim do Fraldinhas,https://jardimdofraldinhas.educabiz.com,294.0,26.0,375.0,604.0,1.0,756.0,4671.0,1.0,2.0
Mar,Goltz de Carvalho,https://goltzcarvalho.educabiz.com,81.0,12.0,0.0,178.0,0.0,162.0,1016.0,0.0,0.0
Mar,DiversUs - centro de estudos,https://diversus.educabiz.com,7.0,0.0,19.0,103.0,0.0,77.0,326.0,0.0,0.0
Mar,AISTN,https://aistn.educabiz.com,198.0,23.0,0.0,1723.0,34.0,684.0,4713.0,4.0,0.0
Mar,Infantário da Pena,https://infantariodapena.educabiz.com,120.0,40.0,200.0,860.0,0.0,360.0,2730.0,3.0,0.0
Mar,Colégio Quintinha da Fidalga,https://quintinhadafidalga.educabiz.com,47.0,0.0,0.0,206.0,0.0,171.0,1057.0,1.0,0.0
Mar,Santa Casa Misericórdia de Silves,https://scmsilves.educabiz.com,214.0,39.0,0.0,344.0,0.0,526.0,2844.0,0.0,0.0
Mar,A Minha Casinha,https://aminhacasinha.educabiz.com,58.0,2.0,0.0,80.0,4.0,74.0,514.0,0.0,0.0
Mar,Grãozinho de Areia,https://graozinhoareia.educabiz.com,96.0,30.0,136.0,328.0,0.0,294.0,2119.0,0.0,0.0
Mar,Creche Cresce no Paço,https://crescenopaco.educabiz.com,53.0,5.0,21.0,143.0,14.0,141.0,837.0,1.0,0.0
Mar,Centro Social Paroquial de Alfornelos,https://cspalfornelos.educabiz.com,313.0,67.0,0.0,1920.0,0.0,602.0,4504.0,0.0,0.0
Mar,Os Traquinas,https://ostraquinas.educabiz.com,71.0,16.0,87.0,577.0,14.0,219.0,1719.0,0.0,0.0
Mar,Liga dos Amigos da Quinta do Conde,https://laqcquintadoconde.educabiz.com,163.0,34.0,224.0,710.0,1.0,506.0,3396.0,4.0,0.0
Mar,Colégio Semear,https://colegiosemear.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Darwin School,https://darwinschooltorres.educabiz.com,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0
Mar,EDUKAR,https://edukar.educabiz.com,54.0,11.0,90.0,368.0,0.0,130.0,904.0,0.0,0.0
Mar,Jardim de Infância Popular,https://jipopular.educabiz.com,166.0,22.0,290.0,977.0,9.0,170.0,1268.0,0.0,0.0
Mar,Casa da Primeira Infância,https://cpi.educabiz.com,264.0,77.0,0.0,591.0,2.0,128.0,731.0,0.0,13.0
